date,sku,competitor,comp_price
2025-07-01,SKU-001,CompA,92.77
2025-07-01,SKU-001,CompB,92.22
2025-07-02,SKU-001,CompA,91.08
2025-07-02,SKU-001,CompB,94.44
2025-07-03,SKU-001,CompA,90.02
2025-07-03,SKU-001,CompB,90.97
2025-07-04,SKU-001,CompA,98.94
2025-07-04,SKU-001,CompB,95.83
2025-07-05,SKU-001,CompA,93.37
2025-07-05,SKU-001,CompB,95.15
2025-07-06,SKU-001,CompA,92.85
2025-07-06,SKU-001,CompB,94.3
2025-07-07,SKU-001,CompA,98.24
2025-07-07,SKU-001,CompB,95.85
2025-07-08,SKU-001,CompA,98.83
2025-07-08,SKU-001,CompB,102.04
2025-07-09,SKU-001,CompA,91.88
2025-07-09,SKU-001,CompB,91.15
2025-07-10,SKU-001,CompA,91.31
2025-07-10,SKU-001,CompB,89.75
2025-07-11,SKU-001,CompA,94.62
2025-07-11,SKU-001,CompB,94.94
2025-07-12,SKU-001,CompA,93.94
2025-07-12,SKU-001,CompB,89.62
2025-07-13,SKU-001,CompA,100.84
2025-07-13,SKU-001,CompB,100.71
2025-07-14,SKU-001,CompA,92.59
2025-07-14,SKU-001,CompB,90.45
2025-07-15,SKU-001,CompA,91.16
2025-07-15,SKU-001,CompB,90.14
2025-07-16,SKU-001,CompA,91.77
2025-07-16,SKU-001,CompB,95.41
2025-07-17,SKU-001,CompA,94.94
2025-07-17,SKU-001,CompB,95.8
2025-07-18,SKU-001,CompA,96.08
2025-07-18,SKU-001,CompB,97.03
2025-07-19,SKU-001,CompA,96.44
2025-07-19,SKU-001,CompB,101.3
2025-07-20,SKU-001,CompA,94.24
2025-07-20,SKU-001,CompB,96.17
2025-07-21,SKU-001,CompA,96.88
2025-07-21,SKU-001,CompB,98.28
2025-07-22,SKU-001,CompA,92.05
2025-07-22,SKU-001,CompB,91.88
2025-07-23,SKU-001,CompA,101.63
2025-07-23,SKU-001,CompB,100.82
2025-07-24,SKU-001,CompA,94.99
2025-07-24,SKU-001,CompB,92.23
2025-07-25,SKU-001,CompA,93.11
2025-07-25,SKU-001,CompB,92.54
2025-07-26,SKU-001,CompA,101.15
2025-07-26,SKU-001,CompB,98.05
2025-07-27,SKU-001,CompA,91.87
2025-07-27,SKU-001,CompB,92.78
2025-07-28,SKU-001,CompA,102.29
2025-07-28,SKU-001,CompB,101.59
2025-07-29,SKU-001,CompA,93.45
2025-07-29,SKU-001,CompB,88.69
2025-07-30,SKU-001,CompA,100.23
2025-07-30,SKU-001,CompB,96.54
2025-07-31,SKU-001,CompA,91.43
2025-07-31,SKU-001,CompB,95.62
2025-08-01,SKU-001,CompA,97.52
2025-08-01,SKU-001,CompB,99.79
2025-08-02,SKU-001,CompA,94.77
2025-08-02,SKU-001,CompB,95.22
2025-08-03,SKU-001,CompA,94.02
2025-08-03,SKU-001,CompB,98.91
2025-08-04,SKU-001,CompA,89.38
2025-08-04,SKU-001,CompB,91.13
2025-08-05,SKU-001,CompA,94.78
2025-08-05,SKU-001,CompB,95.47
2025-08-06,SKU-001,CompA,90.91
2025-08-06,SKU-001,CompB,88.97
2025-08-07,SKU-001,CompA,94.28
2025-08-07,SKU-001,CompB,94.26
2025-08-08,SKU-001,CompA,91.74
2025-08-08,SKU-001,CompB,90.37
2025-08-09,SKU-001,CompA,94.85
2025-08-09,SKU-001,CompB,97.56
2025-08-10,SKU-001,CompA,103.55
2025-08-10,SKU-001,CompB,104.47
2025-08-11,SKU-001,CompA,94.91
2025-08-11,SKU-001,CompB,92.99
2025-08-12,SKU-001,CompA,88.07
2025-08-12,SKU-001,CompB,88.82
2025-08-13,SKU-001,CompA,92.17
2025-08-13,SKU-001,CompB,94.7
2025-08-14,SKU-001,CompA,101.59
2025-08-14,SKU-001,CompB,101.69
2025-08-15,SKU-001,CompA,89.98
2025-08-15,SKU-001,CompB,89.99
2025-08-16,SKU-001,CompA,91.1
2025-08-16,SKU-001,CompB,92.81
2025-08-17,SKU-001,CompA,95.68
2025-08-17,SKU-001,CompB,95.86
2025-08-18,SKU-001,CompA,94.11
2025-08-18,SKU-001,CompB,93.58
2025-08-19,SKU-001,CompA,97.06
2025-08-19,SKU-001,CompB,93.02
2025-08-20,SKU-001,CompA,95.57
2025-08-20,SKU-001,CompB,96.04
2025-08-21,SKU-001,CompA,93.04
2025-08-21,SKU-001,CompB,93.22
2025-08-22,SKU-001,CompA,92.35
2025-08-22,SKU-001,CompB,91.4
2025-08-23,SKU-001,CompA,88.31
2025-08-23,SKU-001,CompB,90.59
2025-08-24,SKU-001,CompA,101.2
2025-08-24,SKU-001,CompB,100.12
2025-08-25,SKU-001,CompA,99.55
2025-08-25,SKU-001,CompB,100.23
