date,sku,price,units,cost,promo_flag
2025-07-01,SKU-001,93.56,14,57.09,0
2025-07-02,SKU-001,88.86,11,57.09,0
2025-07-03,SKU-001,90.92,13,57.09,0
2025-07-04,SKU-001,94.24,14,57.09,0
2025-07-05,SKU-001,88.21,21,57.09,1
2025-07-06,SKU-001,85.96,22,57.09,1
2025-07-07,SKU-001,93.18,13,57.09,0
2025-07-08,SKU-001,91.03,23,57.09,0
2025-07-09,SKU-001,72.13,27,57.09,1
2025-07-10,SKU-001,88.83,21,57.09,1
2025-07-11,SKU-001,94.83,14,57.09,0
2025-07-12,SKU-001,99.15,11,57.09,0
2025-07-13,SKU-001,89.73,13,57.09,0
2025-07-14,SKU-001,93.85,14,57.09,0
2025-07-15,SKU-001,95.18,9,57.09,0
2025-07-16,SKU-001,97.14,11,57.09,0
2025-07-17,SKU-001,99.6,17,57.09,0
2025-07-18,SKU-001,94.87,11,57.09,0
2025-07-19,SKU-001,80.08,19,57.09,1
2025-07-20,SKU-001,98.98,12,57.09,0
2025-07-21,SKU-001,76.75,15,57.09,1
2025-07-22,SKU-001,99.27,14,57.09,0
2025-07-23,SKU-001,97.09,15,57.09,0
2025-07-24,SKU-001,92.23,14,57.09,0
2025-07-25,SKU-001,98.89,13,57.09,0
2025-07-26,SKU-001,97.12,22,57.09,0
2025-07-27,SKU-001,93.38,11,57.09,0
2025-07-28,SKU-001,95.93,10,57.09,0
2025-07-29,SKU-001,95.99,15,57.09,0
2025-07-30,SKU-001,94.17,12,57.09,0
2025-07-31,SKU-001,83.65,14,57.09,1
2025-08-01,SKU-001,95.24,13,57.09,0
2025-08-02,SKU-001,94.94,11,57.09,0
2025-08-03,SKU-001,99.57,11,57.09,0
2025-08-04,SKU-001,97.32,10,57.09,0
2025-08-05,SKU-001,95.62,12,57.09,0
2025-08-06,SKU-001,97.85,13,57.09,0
2025-08-07,SKU-001,87.42,20,57.09,1
2025-08-08,SKU-001,88.79,13,57.09,0
2025-08-09,SKU-001,95.67,15,57.09,0
2025-08-10,SKU-001,91.44,16,57.09,0
2025-08-11,SKU-001,94.52,14,57.09,0
2025-08-12,SKU-001,91.47,21,57.09,1
2025-08-13,SKU-001,93.73,17,57.09,0
2025-08-14,SKU-001,81.68,19,57.09,1
2025-08-15,SKU-001,94.97,14,57.09,0
2025-08-16,SKU-001,99.31,18,57.09,0
2025-08-17,SKU-001,98.82,18,57.09,0
2025-08-18,SKU-001,95.97,12,57.09,0
2025-08-19,SKU-001,83.22,20,57.09,1
2025-08-20,SKU-001,96.69,14,57.09,0
2025-08-21,SKU-001,93.81,11,57.09,0
2025-08-22,SKU-001,83.23,25,57.09,1
2025-08-23,SKU-001,96.24,14,57.09,0
2025-08-24,SKU-001,90.55,15,57.09,0
2025-08-25,SKU-001,93.85,19,57.09,0
2025-08-26,SKU-001,99.26,17,57.09,0
2025-08-27,SKU-001,88.04,21,57.09,1
2025-08-28,SKU-001,98.3,14,57.09,0
2025-08-29,SKU-001,96.21,10,57.09,0
2025-08-30,SKU-001,96.71,19,57.09,0
2025-08-31,SKU-001,92.92,14,57.09,0
2025-09-01,SKU-001,99.26,9,57.09,0
2025-09-02,SKU-001,91.52,10,57.09,0
2025-09-03,SKU-001,93.72,10,57.09,0
2025-09-04,SKU-001,94.19,15,57.09,0
2025-09-05,SKU-001,98.13,13,57.09,0
2025-09-06,SKU-001,89.84,14,57.09,0
2025-09-07,SKU-001,92.66,16,57.09,0
2025-09-08,SKU-001,95.78,14,57.09,0
2025-09-09,SKU-001,93.26,15,57.09,0
2025-09-10,SKU-001,95.58,9,57.09,0
2025-09-11,SKU-001,91.95,17,57.09,0
2025-09-12,SKU-001,97.66,14,57.09,0
2025-09-13,SKU-001,85.1,18,57.09,1
2025-09-14,SKU-001,91.78,10,57.09,0
2025-09-15,SKU-001,95.49,11,57.09,0
2025-09-16,SKU-001,88.06,23,57.09,1
2025-09-17,SKU-001,98.06,13,57.09,0
2025-09-18,SKU-001,73.29,20,57.09,1
2025-09-19,SKU-001,92.07,15,57.09,0
2025-09-20,SKU-001,96.49,15,57.09,0
2025-09-21,SKU-001,99.59,18,57.09,0
2025-09-22,SKU-001,95.81,13,57.09,0
2025-09-23,SKU-001,94.72,13,57.09,0
2025-09-24,SKU-001,79.9,22,57.09,1
